name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Bocconi Graduate Merit Awards,Bocconi Merit Awards are offered by Bocconi University for first graduate applicants for the 2024-2025 academic year based on their academic standing.,The Merit Award includes a full tuition and fees waiver. The awards will be automatically renewed for the entire legal duration of the regular course of study provided that the following requirements are met.,"Academic profiles considered to be amongst the top applicants (International, Italian and Bocconi) will be considered for a Merit Award based on the admission’s application submitted to Bocconi University.",Apr,Master of Science Program offered at Bocconi University,"Applications are currently closed. To be considered for the scholarship, you must apply to a Graduate Program at Bocconi University. A separate scholarship application will not be required.",https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/home/programs/master+of+science/funding/2024-25+graduate+award,tVIkIBFRCC0,Missing data
Université Paris-Saclay International Master’s Scholarships,The Université Paris-Saclay offers master's scholarships to promote access to its programs for international students and to facilitate highly-qualified foreign students to attend the University.,"The scholarship amount is €10,000 per year, paid for a minimum of 10 consecutive months. Additional €1,000 for travel and visa expenses. Awarded for 1 or 2 years depending on the admission level.",Eligible students must be admitted to a Université Paris-Saclay Master’s program and meet specific criteria based on nationality and residency status.,30 April,"All Master’s programs in all academic fields accredited by Université Paris-Saclay, except for vocational training.",Applications are currently closed. Selected students will receive an email invitation to apply for the scholarship. No unsolicited applications allowed.,https://www.universite-paris-saclay.fr/en/admission/bourses-et-aides-financieres/bourses-internationales-de-master/international-masters,vSfxQMhxN7X,Missing data
DAAD Scholarships in Germany for Development-Related Postgraduate Courses,"The German Academic Exchange Service (DAAD) scholarships offer foreign graduates from development and newly industrialized countries the chance to take a postgraduate or Master’s degree at a state or state-recognized German university, and in exceptional cases to take a doctoral degree.","The scholarships include monthly payments of 934 euros for graduates or 1,300 euros for doctoral candidates; payments towards health, accident and personal liability insurance cover; and travel allowance. The scholarship duration is 12 to 24 months for Masters and 42 months for PhD.","The typical scholarship holder should be currently working in a developing country, hold a Bachelor’s degree, have at least two years of related professional experience, and meet language requirements.",August,"Masters or PhD courses in various fields including Economic Sciences, Engineering, Social Sciences, and Medicine.",Applications must be made directly to the respective course. Deadline varies depending on the course. Visit the official website for complete information on how to apply.,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?status=3&origin=190&subjectGrps=F&daad=&intention=&q=&page=1&detail=50076777,QciOUHEN2pO,Missing data
Nottingham Developing Solutions Scholarships,"The Developing Solutions Scholarship Programme is designed for international students from Africa, India or one of the selected Commonwealth countries who want to pursue a Master’s Degree in the University of Nottingham and make a difference to the development of their home country.",50-100% of the tuition fees,"To apply for this scholarship, you must be domiciled in Africa, India or one of the selected Commonwealth countries, be classed as an overseas student for fee purposes, and hold an offer to start a full-time masters (including MRes) for 2024/2025 at the University of Nottingham UK studying in specific faculties.",17 April,"Full-time Masters Degree Programmes (including MRes) at Nottingham for October 2024 in any subject area within the faculties of Engineering, Medicine & Health Sciences, Science, and Social Science.","Applications are currently closed. You must first have applied for and have received an offer to study a full-time masters (including MRes) at the University of Nottingham before you can apply for the scholarship. The deadline is Wednesday, 17 April 2024.",http://www.nottingham.ac.uk/studywithus/international-applicants/scholarships-fees-and-finance/scholarships/masters-scholarships/dev-sol-masters.aspx,9n142LIS0UJ,Missing data
IOE Centenary Masters Scholarships,"For 2024/25, IOE is offering Centenary Masters Scholarships for students who plan to work either in their home country, or another, to improve the circumstances of disadvantaged, excluded or underachieving citizens.",Scholarships will cover full tuition fees and accommodation at International Students House for one academic year.,"Candidates should be domiciled in an eligible low or lower-middle income country according to the World Bank classification, have an official unconditional offer to study a full-time master’s degree at IOE, and not have studied or lived in the UK before.",03 May,"Full-time Taught Master’s Degree programmes offered at UCL Institute of Education, excluding MA Educational Neuroscience or any online courses.","To be eligible for the scholarship, you must have an unconditional offer to study a full-time master's degree in London at the UCL Institute of Education. Once you receive your unconditional offer letter, you can complete and submit an online application form.",https://www.ucl.ac.uk/ioe/about-ioe/global-reach/scholarships-and-funding,241FyUuAVHr,Missing data
Allan & Nesta Ferguson Global Development Scholarships at University of East Anglia,The Allan & Nesta Ferguson Scholarships are available to international students who have applied to study a full-time one year Master’s course in the School of Global Development at UEA.,"The scholarship covers full tuition fees worth £21,200 and a grant of £19,156.33","To apply for the scholarship, applicants must be a national of, or permanently domiciled, in one of the specified developing countries.",19 April,Various fields of study in the School of Global Development at UEA,"Applications are currently closed. To be considered for this scholarship, applicants need to complete an application form available on the official website.",https://www.uea.ac.uk/study/fees-and-funding/scholarships/the-allan-and-nesta-ferguson-scholarship,QVhOHiHmbWU,Missing data
Fulbright Foreign Student Program in USA,"The Fulbright Foreign Student Program enables graduate students, young professionals and artists from abroad to study and conduct research in the United States at U.S. universities or other academic institutions.","Generally, the grant funds tuition, airfare, a living stipend, and health insurance, etc. The Fulbright program provides funding for the duration of the study.","Program eligibility and selection procedures vary widely by country. Please see the country specific websites to find information about the Fulbright Program in your home country, including eligibility requirements and application guidelines.",February,"Fulbright encourages applications from all fields, including interdisciplinary ones.","All Foreign Student Program applications are processed by bi-national Fulbright Commissions/Foundations or U.S. Embassies. Therefore, foreign students must apply through the Fulbright Commission/Foundation or U.S. Embassy in their home countries.",http://foreign.fulbrightonline.org/about/foreign-fulbright,i1C3VicaKrS,Missing data
Adelaide Global Academic Excellence Scholarships for International Students,The University of Adelaide 2024 Global Academic Excellence Scholarship (International) is a highly competitive award that rewards commencing undergraduate and postgraduate coursework international students who have demonstrated academic excellence in previous studies.,Each Faculty will award only two scholarships of a 50% reduction of the tuition fee to the applicant in their faculty with the highest score above an ATAR of 98 or GPA of 6.8.,"International Students commencing with the University of Adelaide in their coursework award program in 2024; Direct entry undergraduate and postgraduate award program applicants, including those who are required to undertake a Pre-Enrolment English Program (PEP) prior to their degree commencement; Applicants that meet the minimum score; Open to citizens of Vietnam, Taiwan, Colombia, Sri Lanka and Bangladesh that are enrolling as International Students and students who have completed their most recent qualifications in Australia; Available for study in any discipline.",30 April,Undergraduate or postgraduate coursework degrees in any discipline offered at the University with some exceptions,Applications are currently closed. It is not necessary to apply for the University of Adelaide Global Academic Excellence Scholarship because this scholarship will be automatically awarded to students who meet the eligibility requirements. No separate scholarship application form is required.,https://international.adelaide.edu.au/admissions/scholarships/global-academic-excellence-scholarship,0rsQqYBiqJZ,Missing data
Glasgow International Leadership Scholarships,The University of Glasgow offers several International Leadership Scholarships to international and EU (non-UK) students starting a postgraduate taught Masters programme in any discipline for Academic Session 2024-25.,"The scholarship is awarded as a tuition fees discount and is worth £10,000.","To be eligible, applicants must demonstrate academic excellence and achieve grades equivalent to UK 1st Class Honours, hold an offer of a place for a postgraduate taught programme for September 2024, and have International or EU (non-UK) fee status.",January,Postgraduate Taught Master Programmes in any discipline offered at the University,"To be considered for the scholarships, applicants must hold an offer of a place for a postgraduate taught programme for September 2024. Applications are done in the online Scholarship Portal. Successful candidates will be notified within six weeks of receiving a programme offer.",https://www.gla.ac.uk/scholarships/universityofglasgowinternationalleadershipscholarship/,5ENNXIwOEIO,Missing data
Aga Khan Foundation International Scholarship Programme,The Aga Khan Foundation provides a limited number of scholarships each year for postgraduate studies to outstanding students from developing countries who have no other means of financing their studies.,The Foundation assists students with tuition fees and living expenses only. Scholarships for Master’s studies are granted for the entire duration of the degree course. Funding for PhD programmes is only provided for the first two years of study.,"To be eligible for an AKF ISP award, you must have excellent academic records, hold a Bachelor’s degree or equivalent training/professional experience, demonstrate genuine financial need, construct a thoughtful, reliable, multi-source funding plan, be admitted to a reputable postgraduate institution, and have strong leadership potential, professional experience, extracurricular and/or entrepreneurial achievements, and volunteer contributions.",Mar,The Foundation gives priority to requests for Master’s level courses but is willing to consider applications for PhD programmes. Applications for short-term courses are not considered.,Applications are currently closed. Applicants are advised to contact the local offices for internal deadline dates and requirements as these may vary from country to country. Completed applications should be returned to the agency from which the form was obtained. They should not be sent to Geneva.,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,S42NJN5a8EX,Missing data
UWE Millennium Scholarship for International Students,"The University of the West of England, Bristol offers the Millennium Scholarship to international students who will be required to undertake an internship working within the International Office or other departments, and will also be required to undertake ambassadorial activity for the University throughout the duration of the course.",50% tuition fees for one academic year,"To be eligible for the scholarship: Have achieved the equivalent of a British 1st in an undergraduate degree, Hold an unconditional offer or a conditional offer where IELTS or equivalent English language is the only condition, Be a new student to UWE Bristol with no previous UK study, Be classed as overseas for fees purposes, Not be a sponsored student or in receipt of another scholarship/award, Provide official transcripts at the time of application",30 April,Eligible Postgraduate Programme offered at the University,"Applications are currently closed. If you pass the eligibility criteria as listed above, you will be invited to apply as part of the application process. If invited, you will receive a link to an online application form which must be completed before 30 April 2023 for September 2024 entry. It is important to visit the official website (link found below) for detailed information on how to apply for this scholarship.",https://www.uwe.ac.uk/courses/funding/scholarships-and-bursaries/millennium-scholarship,5pSY60qpyee,Missing data
Commonwealth Distance Learning Scholarships for Developing Commonwealth Countries,"Commonwealth Distance Learning Scholarships are for candidates from least developed and lower middle income Commonwealth countries, for part-time Master’s study by distance learning on selected courses offered by UK universities.",A Commonwealth Distance Learning Scholarship covers tuition fees and study grants where required.,"To apply for the scholarship, you must be a citizen of or have been granted refugee status by an eligible Commonwealth country, or be a British Protected Person, be permanently resident in a developing Commonwealth country, hold a first degree of at least upper second class (2:1) standard, and be unable to afford to study the program without this scholarship.",28 March,Part-time Master’s study by distance learning on selected courses offered by UK universities,Applications are currently closed. Candidates must apply and secure admission to study an approved Master’s course at a participating UK university in addition to applying for a Commonwealth Distance Learning Scholarship. All applications must be submitted by 16:00 (GMT) on 28 March 2024 at the latest.,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-distance-learning-scholarships-candidates-2022/,TflhwDjOCZH,Missing data
International Undergraduate Merit Scholarships at University of Sheffield,The University of Sheffield are offering 50% tuition fee scholarships for international students to study an undergraduate degree programme starting in autumn 2023.,"This scholarship provides 50% tuition fee reduction. If selected, the award is guaranteed in the first year of study and subsequent years based on academic performance.","To be considered, the program must start in autumn 2024, receive an offer for a course at the University of Sheffield, be self-funded for overseas tuition fees, not be a sponsored student, and enter the program in year 1 or 2.",22 April,Any undergraduate degree offered at the University of Sheffield except Medicine and Dentistry.,Applications are currently closed. Applicants must hold an offer to study at the University of Sheffield before applying for the scholarship. Apply online at the official website before the deadline.,https://www.sheffield.ac.uk/international/fees-and-funding/scholarships/undergraduate/international-undergraduate-merit-scholarship,1FMrCgBGppT,Missing data
Australia Awards Scholarships,Australia Awards Scholarships provide opportunities for people from developing countries to undertake full-time undergraduate or postgraduate study at participating Australian universities and institutions.,"The scholarship benefits generally include full tuition fees, return air travel, establishment allowance, contribution to living expenses, Overseas Student Health Cover, and more. The scholarships are offered for the minimum period necessary to complete the academic program.","To be eligible, applicants must meet criteria such as being a citizen of a participating country, not holding Australian citizenship or permanent residency, and meeting specific admission requirements.",30 April,Undergraduate or Postgraduate Programmes related to the applicant's country's priority areas for development.,"Applications are currently closed. Check the open and close dates for your country, select your country of citizenship, and follow the specific instructions on the official website.",https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,ubsxhhuKCBm,Missing data
Türkiye Scholarships for International Students,"Türkiye Scholarships is a government-funded, competitive scholarship program, awarded to outstanding students to pursue full-time or short-term program at the top universities in Turkey.","The scholarship includes university and program placement, monthly stipend, tuition fees, once-off return flight ticket, health insurance, accommodation, and one year Turkish Language Course. The duration varies for each level of study.","Minimum academic criteria and age criteria vary based on the level of study. Eligible groups include citizens of all countries, graduates or applicants who are able to graduate at the end of the current academic year, researchers, and academicians.",Feb,"Bachelors, Masters or PhD Programmes in a wide range of fields of study offered at participating Turkish Universities","Applications are currently closed. Applications can only be made individually through www.turkiyeburslari.gov.tr by the candidates. Candidates applying at Bachelor’s, Master’s, and PhD levels are welcome to apply between 10 January – 20 February 2024. Research applicants can apply throughout the year.",https://www.turkiyeburslari.gov.tr/announcements/turkiye-scholarships-2024-applications-55,HKR4hfNhCDE,Missing data
JFUNU Scholarships for PhD in Sustainability Science,The Japan Foundation for UNU (JFUNU) Scholarship is available for outstanding applicants from developing countries who can demonstrate a need for financial assistance and who are granted admissions to the PhD Programme in Sustainability Science at United Nations University Institute for the Advanced Study of Sustainability (UNU-IAS).,"The scholarship provides a monthly allowance of 120,000 JPY for living expenses for a maximum of 36 months. Travel costs to and from Japan, visa handling fees, and health/accident insurance costs must be covered by the student. The tuition fees are fully waived for the scholarship recipients.",Applicants must be from developing countries who can demonstrate a need for financial assistance. Applicants who are currently living in Japan under a working visa are NOT eligible for the scholarship. Applicants who are already enrolled in other PhD programmes are not eligible.,03 March,PhD Programme in Sustainability Science,"To apply, you must complete the online application form for admission. During the admission selection process, outstanding applicants will be automatically considered as candidates for the award of scholarships. No separate application is required.",https://unu.edu/ias/doctorate-degree/phd-sustainability-science#SCHOLARSHIP,nESQjKiJzx9,Missing data
JFUNU Scholarships for MSc in Sustainability Programme for Developing Country Students,The Japan Foundation for UNU (JFUNU) Scholarship is available for outstanding applicants from developing countries who can demonstrate a need for financial assistance and who are admitted to the Master of Science in Sustainability Programme at United Nations University – Institute for the Advanced Study of Sustainability (UNU-IAS).,"The JFUNU scholarship provides a monthly allowance of 120,000 JPY* for living expenses for a maximum of 24 months. The tuition fees may be waived for the scholarship recipients. However, travel costs to and from Japan, visa handling fees, and health/accident insurance costs must be covered by the student.",Applicants must be persons from developing countries who can demonstrate a need for financial assistance. Applicants who are currently living in Japan under a working visa are NOT eligible for the scholarship. Applicants who are already enrolled in other postgraduate degree programmes are not eligible. Applicants must not be recipients of other scholarships concurrently.,25 February,Master of Science in Sustainability,"Applications are currently closed. Your official application for admissions must be submitted through the online application form. During admission selection process, outstanding applicants from developing countries with financial need will be automatically considered as candidates for the award of the JFUNU scholarship. Thus, no separate scholarship application is necessary.",https://unu.edu/ias/msc-scholarships#JapanFoundation,T5mncViusQj,Missing data
Singapore International Graduate Award,"SINGA is an award given to international students with excellent academic undergraduate and/or master’s results, and strong interest in doing research leading to a doctorate (PhD) in Science and Engineering at a Singapore University.","The award provides financial support for up to 4 years of PhD studies including full tuition fees, monthly stipend (S$2,700-3,200), settlement allowance (S$1,000), and airfare grant up to (S$1,500).",Open to all international graduates with a passion for research and excellent academic results. Good skills in written and spoken English. Good reports from academic referees.,01 June,PhD Programs in Biomedical Sciences; and Physical Sciences and Engineering,Applications are done online. The deadline for January 2025 intake is 1 June 2024 (2359hrs GMT +8 Singapore time). It is important to visit the official website for detailed information on how to apply for this scholarship.,https://www.a-star.edu.sg/Scholarships/For-Graduate-Studies/Singapore-International-Graduate-Award-SINGA,2AF8Oqy3Kau,Missing data
Danish Government Scholarships for Non-EU Students,The Denmark Government welcomes highly qualified and motivated international students from all over the world to study in Denmark. A number of scholarships are therefore offered each year by the Danish Ministry of Education to fund students from countries outside the European Union/ European Economic Area.,The government scholarship consists of two parts and can be given as full or partial tuition fee waivers and/or grants towards covering your living costs.,A citizen of a country outside the European Union (EU) and the European Economic Area (EEA) or Switzerland. Enrolled in a full degree higher education programme. Granted a time-limited residence permit in Denmark due to education.,March,Eligible full-time Higher Education Programmes offered at participating HEIs in Denmark,"The scholarships are administered by the Danish institutions of higher education, each of which decides which students will receive a scholarship. For further information about the government scholarship, please consult the admission details of the higher education institution of your choice.",https://studyindenmark.dk/study-options/scholarships,X4Pv5VhHIn1,Missing data
Government of Flanders Master Mind Scholarships for International Students,The Flemish Ministry of Education awards scholarships for master’s programmes in Flanders and Brussels to outstanding students from around the world.,"A Master Mind Scholarship includes a grant of €10,000 plus a tuition fee waiver per academic year. The duration of mobility is one academic year for a Master programme of 60 ECTS and two academic years for a master programme of 120 ECTS.","The applicant applies to take up a Master degree programme at a higher education institution in Flanders. The applicant should have a high standard of academic performance and/or potential, a Grade Point Average of 3.5 out of 4.0, good knowledge of the English language, and must be accepted by the Host institution to receive the scholarship.",28 April,"Eligible Masters Degree Programmes offered at participating Flemish Institutions except preparatory programmes, bridging programmes, or distance learning.","Applications are currently closed. Students need to submit their application to the host institution, which preselects eligible applications. The application needs to be submitted online by the Flemish host institution. It is important to read the How to Apply page on the official website for detailed information.",https://www.studyinflanders.be/scholarships/master-mind-scholarships,urXSkUdwlcw,Missing data
Manaaki New Zealand Scholarships for International Students,The New Zealand Government offers full tertiary scholarships for eligible international students to study fulltime at a New Zealand education institution or a Pacific university.,"The scholarships include full tuition fees, a living allowance (NZ$531 per week), an establishment allowance (NZ$3000), medical and travel insurance, travel to and from your own country and New Zealand at the start and end of your scholarship, travel home during your scholarship, and help with research and thesis costs for many postgraduate students.","Age Requirements: 18 years old or older when starting the scholarship, no upper age limit. Student Visa Requirements, Academic Requirements, English Requirements, Contribution to their Country’s Development, Residency requirements in scholar’s home country, Work Experience Requirements.",Feb,"Undergraduate and Postgraduate Degrees in preferred fields of study that are most relevant to the development needs of your country (i.e. renewable energy, agriculture development, disaster risk management, private sector development, public sector development).","Applications are currently closed. The New Zealand Scholarship application process differs depending on which country or region you are from. For most countries, you can apply online using specific links for each region. It is important to visit the country-specific pages and the official website to access the online application form and for detailed information on how to apply for this scholarship.",https://www.nzscholarships.govt.nz/category/,hciSEEzavty,Missing data
Melbourne International Undergraduate Scholarships,The International Undergraduate Scholarship is awarded to high achieving international students in recognition of their excellent academic results.,"This scholarship provides either a: $10,000 tuition fee remission in the first year of an undergraduate degree, 50% fee remission for the three year duration of an undergraduate degree, or 100% fee remission for the three year duration of an undergraduate degree","To be considered for a fee remission scholarship you must be a citizen of a country other than Australia and New Zealand, have received an unconditional offer for an undergraduate course, have achieved excellent final year school results, and not have previously undertaken any tertiary studies.",31 May,Any undergraduate degree offered at University of Melbourne,Applications are currently closed. No application is required. All eligible students who have received an unconditional offer for admission to an undergraduate degree will automatically be considered.,https://scholarships.unimelb.edu.au/awards/melbourne-international-undergraduate-scholarship,7iszaHddRF7,Missing data
Padua International Excellence Scholarship Programme,The University of Padua offers scholarships to highly talented prospective students wishing to pursue a Bachelor’s or Master’s degree completely held in English in Padua.,"The scholarship includes a subsistence allowance of €8,000 and a tuition fee waiver. The scholarship has a maximum duration of 2 continuous years for Master’s degree candidates or 3 continuous years for Bachelor’s and Single Cycle degree candidates.","To be eligible, you must not possess an Italian citizenship, hold a non-Italian upper secondary school certificate or Bachelor’s degree, do not reside in Italy, and apply for English-taught degree programmes at the University of Padua.",Mar,Bachelor’s or Master’s degrees completely held in English offered at the University of Padua,You will be automatically considered for the selection procedure if you meet the eligibility requirements. There is no separate application to be filled out or additional specific documents to be submitted besides those required to apply for the selected degree programme.,https://www.unipd.it/en/padua-excellence,3YKi3QkBRKA,Missing data
